"Rest ID","Venue","Region","Suburb","Postcode","Start Balance","Change","Current (11/04/26)","Portfolio Start Date","AM Name"
"30C38D1A-F29D-4B93-B074-376A213B3391","Lemak - Enoggera","Brisbane","Outer Brisbane","4051","490.5","0.00","490.5","1/04/26","Mark Savaille"
"7FB1905F-091C-4CDE-8CD8-2B52338109AB","Astro's Arcade Bar","Sydney","Inner West","2042","487.5","0.00","487.5","1/04/26","Nader Masrour"
"F358D154-8A19-4315-B528-EE6240695A33","Lee Palace Restaurant","Perth","Freemantle","6157","479.5","0.00","479.5","1/04/26","Jai Richards"
"5E730419-E786-4C47-81B5-53F534E3CD12","Knowhere Brisbane","Brisbane","Brisbane City","4000","474.5","0.00","474.5","1/04/26","Matthew Behan"
"3FBE4F00-09B1-4DAA-A892-53D4EA9F233F","The Original Pancake Kitchen - Adelaide","Adelaide","Adelaide City","5000","471.25","0.00","471.25","1/04/26","Gabriella Szabo"
"EA76822E-BD09-4DFA-A9B0-0C82E6E814C1","Coalesce Bar","Sydney","North Sydney","2065","470","0.00","470","1/04/26","Jordan Wellard"
"866CB2C2-145B-42F6-A9CE-C5983A7401BE","Jaggi's Indian Eatery - Neutral Bay","Sydney","North Sydney","2089","468.75","0.00","468.75","1/04/26","Jasmine Jung"
"76247938-8866-48E4-9435-B32B2BE8752C","Mai Banh Mi feat. Little Boba","Melbourne","Yarraville","3011","0","466.25","466.25","NA","Tom Mcgay"
"055350C7-F3B8-4008-9AC8-7587AA650A3E","Say Cheeese - West End","Brisbane","South Brisbane","4101","935","-470.00","465","1/04/26","Matthew Behan"
"3C1C1477-4BE0-43B7-B34D-28B716140A15","Thunder Eatery & Cafe","Melbourne","Yarraville","3015","175","287.50","462.5","2/04/26","Josephine Fatorma"
"582BF07B-D4B1-4C48-ADBC-2F401C302B7E","The Omnii","Adelaide","North Adelaide","5007","496","-36.50","459.5","1/04/26","Gabriella Szabo"
"2D3DC4AA-5953-43C6-96FB-C8E2F453E158","The Terrace Hotel","Perth","Perth City","6000","458.5","0.00","458.5","1/04/26","Libby Egan"
"8CC7C801-E1A6-4BA8-8532-3A6671FB12ED","La Fresca Pasta Bar","Melbourne","Greensborough","3083","451.25","0.00","451.25","1/04/26","Nicole Orr"
"445720B8-EA8F-4C82-AB6D-FB8ABB0D25A6","Pettah Road","Melbourne","Hawthorn","3122","339.5","102.75","442.25","1/04/26","Nicole Orr"
"B2BA6CA5-1382-4645-B23C-4BB87DCBC3E8","Spice Society","Sydney","Bondi","2026","440.625","0.00","440.625","1/04/26","Jordan Wellard"
"19AC8315-5511-4062-A83D-17A6E8EAF7F8","Criniti's - East Perth","Perth","Perth City","6004","144.5","288.25","432.75","13/04/26","Tom Mcgay"
"F6C13AEE-2E99-4FF4-B0FF-F82643BC1A40","Scarlet Weasel","Sydney","Zetland","2016","430","0.00","430","1/04/26","Brianna Quinn"
"6FEBF3C2-0AA4-4D20-B716-B6880B64DABB","Sarangi Kitchen and Bar","Sydney","Parramatta","2142","430","0.00","430","1/04/26","Nader Masrour"
"6D7F9372-DFCD-4F09-850F-4369370225D4","Blute's Bar","Brisbane","Brisbane City","4006","425","0.00","425","1/04/26","Matthew Behan"
"F4C1B8F9-9DAD-4C47-AC23-FC138886CF97","Wildman Pizza - Randwick","Sydney","Eastern Beaches","2031","421.25","0.00","421.25","1/04/26","Jordan Wellard"
"5036C1E0-E57F-4718-89C9-CA479CBFADEA","The Burger Syndicate","Melbourne","Brunswick","3057","421.25","0.00","421.25","1/04/26","Cameron Landis"
"840506BF-72FA-4DD4-ACBE-FE9126B6EC10","Jian Cha Tea - Lonsdale Street","Melbourne","Melbourne City","3000","420","0.00","420","1/04/26","Jay Franklin"
"B1734A9B-80E1-4A77-824D-E4123A19596B","Jian Cha Tea - Elizabeth Street","Melbourne","Melbourne City","3000","420","0.00","420","1/04/26","Jay Franklin"
"954D609C-954E-49BC-A9A8-8E1F30CDE220","Refined Rabbit","Perth","East Victoria Park","6101","439.5","-19.75","419.75","1/04/26","Libby Egan"
"E3E1D9A5-4EB0-4439-9F1B-15C396B37951","Nord Bar & Restaurant","Melbourne","Brunswick","3072","426.562","-17.50","409.062","1/04/26","Jessie Helyar"
"7C92C98B-1E5D-4DB1-BBA1-EAA4BFB59B46","BAC 8","Melbourne","Clayton","3171","176.875","230.63","407.5","1/04/26","Aaron Pantazis"
"2BD7D407-19D8-486B-BA5B-9F727699EA7D","Bawarchi Indian Kitchen","Brisbane","Coopers Plains","4108","405","0.00","405","1/04/26","Jessie Helyar"
"6844A369-5257-451A-864C-974D889D2F54","Garden State Diner","Melbourne","Clayton","3170","333.438","70.31","403.75","1/04/26","Orel Cohen Berenson"
"A5B7628F-17DE-4CDF-A20C-AF7446D86179","Everyday Dumpling","Perth","North Perth","6006","392.5","0.00","392.5","1/04/26","Libby Egan"
"F7F76EFE-81DD-4A05-8199-0B94EB4AC48D","Zaitoon Mandi Palace","Sydney","Parramatta","2144","391.375","0.00","391.375","13/04/26","Nader Masrour"
"7BD8092A-0BD2-4F2B-9345-5AA221A3911D","Dispensary 1908 Glebe Cafe & Bar","Sydney","Balmain","2037","371.25","17.50","388.75","1/04/26","Jordan Wellard"
"0074AA98-456B-471C-9150-14644D7781F8","Quarterdeck Espresso Bar Restaurant","Sunshine Coast","Sunshine Coast","4557","385","0.00","385","1/04/26","Mark Savaille"
"E2D5EA89-F12C-4208-BD1D-494AE91B8E6F","The Poet Indian Restaurant","Canberra","Belconnen","2617","370","11.25","381.25","1/04/26","Lukas Symonds"
